"Endpoint","Status","Count"
"/storage/static/appdocs/2/leaderboards/WeeklyMedallions:569.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/WeeklyMedallions:568.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/WeeklyMedallions:567.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/guild:compiled:WeeklyMedallions:569.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/guild:compiled:WeeklyMedallions:568.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/guild:compiled:WeeklyMedallions:567.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/ladder:Season_238:Rating.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/ladder:Season_237:Rating.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/ladder:Season_236:Rating.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/ladder:Season_569:Rating.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
"/storage/static/appdocs/2/leaderboards/ladder:Season_568:Rating.json","The remote name could not be resolved: 'www.panaceatree.com'","0"
